Labour Party,south-west,Glyn Ford,JAMES GLYN FORD,director,EUROPEAN SHADOW COMMUNICATIONS AGENCY LIMITED,02526500,gb,https://opencorporates.com/companies/gb/02526500
Labour Party,south-west,Glyn Ford,JAMES GLYN FORD,director,POL-INT LIMITED,06963311,gb,https://opencorporates.com/companies/gb/06963311
Labour Party,south-west,Clare Miranda Moody,NICOLA CLARE MIRANDA MOODY,secretary,INCEPT LTD.,03059354,gb,https://opencorporates.com/companies/gb/03059354
Labour Party,south-west,Clare Miranda Moody,NICOLA CLARE MIRANDA MOODY,secretary,KEITH MOODY PROJECT CONSULTANCY (KMPC) LIMITED,05571518,gb,https://opencorporates.com/companies/gb/05571518
Green Party,south-west,Mark Chivers,CHRISTOPHER MARK CHIVERS,director,THE BLACKBURN DIOCESAN BOARD OF EDUCATION,00557954,gb,https://opencorporates.com/companies/gb/00557954
Green Party,south-west,Mark Chivers,CHRISTOPHER MARK CHIVERS,director,BLACKBURN CATHEDRAL TRUST,07044409,gb,https://opencorporates.com/companies/gb/07044409
Green Party,south-west,Mark Chivers,GORDON MARK CHIVERS,director,CUMBRIA TRAINING PARTNERSHIP,04394480,gb,https://opencorporates.com/companies/gb/04394480
Green Party,south-west,Mark Chivers,JONATHAN MARK CHIVERS,director,THE NATIONAL RETAIL PLANNING FORUM,03071181,gb,https://opencorporates.com/companies/gb/03071181
Green Party,south-west,Mark Chivers,JONATHAN MARK CHIVERS,director,NOTTINGHAM ENTERPRISE ZONE DEVELOPMENT COMPANY LIMITED,08452579,gb,https://opencorporates.com/companies/gb/08452579
Green Party,south-west,Mark Chivers,JONATHAN MARK CHIVERS,director,CREATIVE QUARTER NOTTINGHAM LIMITED,08336489,gb,https://opencorporates.com/companies/gb/08336489
Green Party,south-west,Mark Chivers,MARK ANDREW CHIVERS,director,EM ASSESSMENTS LIMITED,04094099,gb,https://opencorporates.com/companies/gb/04094099
Green Party,south-west,Mark Chivers,MARK ANDREW CHIVERS,secretary,EM ASSESSMENTS LIMITED,04094099,gb,https://opencorporates.com/companies/gb/04094099
Green Party,south-west,Mark Chivers,MARK ANSELM CHIVERS,director,KWOTURE LIMITED,02947404,gb,https://opencorporates.com/companies/gb/02947404
Green Party,south-west,Mark Chivers,MARK CHIVERS,director,ENTERPRISE CONSULTING & CHANGE MANAGEMENT LIMITED,03552561,gb,https://opencorporates.com/companies/gb/03552561
Green Party,south-west,Mark Chivers,MARK CHIVERS,secretary,MILLARDS COURT MANAGEMENT COMPANY LIMITED,03223696,gb,https://opencorporates.com/companies/gb/03223696
Green Party,south-west,Mark Chivers,MARK CHIVERS,director,AZUL PROPERTY LIMITED,05950017,gb,https://opencorporates.com/companies/gb/05950017
Green Party,south-west,Mark Chivers,MARK CHIVERS,secretary,BLADERUNNER HELICOPTERS LIMITED,03468063,gb,https://opencorporates.com/companies/gb/03468063
